left_x,left_y,right_x,right_y,horizontalRatio,verticalRatio,cursor_x,cursor_y
581,354,688,347,0.6135522664199815,0.7333333333333333,613.27734375,387.90234375
579,356,684,348,0.6111111111111112,0.7846153846153847,613.27734375,387.90234375
576,355,685,348,0.5888888888888888,0.7666666666666666,613.27734375,387.90234375
574,356,683,349,0.5502415458937198,0.775,613.27734375,387.90234375
578,357,683,349,0.6063829787234043,0.7416666666666667,613.27734375,387.90234375
578,357,683,350,0.6048309178743961,0.7678571428571428,613.27734375,387.90234375
577,357,683,350,0.5988179669030733,0.7678571428571428,609.0234375,381.296875
578,358,684,349,0.6086956521739131,0.7571428571428571,577.80078125,353.3671875
579,357,684,349,0.6007905138339921,0.7416666666666667,506.69140625,310.68359375
581,357,688,351,0.625,0.7928571428571429,395.328125,255.1015625
583,358,689,351,0.6205673758865249,0.7416666666666667,384.92578125,251.71484375
585,358,692,351,0.624190564292322,0.7666666666666666,344.71875,225.31640625
588,357,695,351,0.648792270531401,0.7678571428571428,315.42578125,214.69140625
590,358,697,351,0.6456984273820536,0.7083333333333333,268.5859375,198.55078125
592,357,698,352,0.6312056737588652,0.7333333333333333,196.8984375,193.9375
595,358,701,353,0.6522727272727273,0.7666666666666666,178.22265625,190.98828125
594,358,701,352,0.6599033816425122,0.7083333333333333,153.609375,165.8359375
593,358,700,352,0.6379227053140097,0.75,112.59375,140.7109375
593,357,699,353,0.648792270531401,0.7333333333333333,76.0078125,107.265625
593,358,699,352,0.6747044917257683,0.7083333333333333,37.4921875,54.75
593,357,700,352,0.6818840579710145,0.6966911764705883,0.0,0.0
593,358,699,352,0.6640661938534279,0.71875,0.0,4.83203125
592,358,699,352,0.6778445883441258,0.71875,27.640625,98.6171875
593,359,700,354,0.6793478260869565,0.7279411764705883,19.9375,144.84765625
594,359,700,354,0.6747474747474748,0.7416666666666667,33.7578125,175.12109375
594,359,700,355,0.6630434782608696,0.71875,44.84375,304.9609375
595,362,703,357,0.6780758556891766,0.71875,29.15625,354.7578125
595,362,701,358,0.6633838383838384,0.7416666666666667,40.90234375,456.07421875
596,363,702,359,0.6596618357487922,0.7416666666666667,33.9765625,563.69140625
596,365,703,361,0.6710144927536232,0.71875,33.9765625,564.859375
596,367,703,362,0.6640661938534279,0.775,35.03125,645.4375
597,367,703,363,0.6672062904717854,0.7678571428571428,29.953125,673.7734375
596,369,704,364,0.675177304964539,0.75,34.12109375,711.0078125
596,370,702,365,0.6640661938534279,0.7928571428571429,27.28515625,759.48046875
594,370,701,365,0.6607833655705997,0.7416666666666667,8.3828125,776.37890625
592,372,699,366,0.6636363636363636,0.7846153846153847,2.2421875,782.44921875
593,372,700,366,0.6969267139479906,0.7928571428571429,32.7109375,782.44921875
592,372,699,367,0.6764408493427705,0.7774725274725275,124.3828125,765.1640625
591,372,698,366,0.6566205533596838,0.7083333333333333,403.9609375,730.9140625
589,373,695,367,0.6295454545454545,0.7928571428571429,407.1015625,733.9765625
586,374,692,367,0.6297979797979798,0.7571428571428571,478.41015625,756.87109375
584,375,690,367,0.6136363636363636,0.7678571428571428,549.79296875,797.90625
582,375,690,367,0.5962121212121212,0.7214285714285715,549.79296875,797.90625
582,375,688,367,0.6157004830917875,0.7416666666666667,568.3984375,757.38671875
580,375,687,367,0.6075757575757575,0.7846153846153847,598.5625,759.4375
577,375,684,367,0.6136363636363636,0.7678571428571428,620.01953125,759.23046875
576,376,682,368,0.6111111111111112,0.7928571428571429,637.2421875,761.9921875
575,377,682,367,0.625,0.7333333333333334,759.02734375,754.89453125
571,376,678,367,0.5899209486166008,0.7774725274725275,803.671875,736.6171875
572,377,678,368,0.6222222222222222,0.7857142857142857,835.79296875,756.328125
571,378,678,369,0.5689922480620155,0.7846153846153847,937.515625,768.0546875
571,378,678,368,0.5636892177589852,0.7,947.26171875,766.30078125
572,379,678,369,0.5636892177589852,0.7666666666666666,1059.21875,754.8125
571,379,677,369,0.5666666666666667,0.75,1105.26171875,757.6484375
570,378,677,368,0.5621212121212121,0.7238095238095238,1130.0625,752.125
564,379,673,368,0.5111111111111111,0.7666666666666666,1249.51953125,779.18359375
566,378,673,368,0.5444444444444444,0.7333333333333333,1259.203125,780.13671875
563,379,671,369,0.4952020202020202,0.80625,1262.65625,780.88671875
565,379,672,369,0.5333333333333333,0.8285714285714285,1262.65625,780.88671875
564,379,670,369,0.5285353535353535,0.7857142857142857,1273.45703125,675.6796875
564,379,670,369,0.5434782608695652,0.7333333333333333,1270.9609375,621.62890625
563,379,670,369,0.5391304347826087,0.7595238095238095,1271.94921875,599.15234375
561,379,667,369,0.5326086956521738,0.7333333333333333,1267.30859375,505.95703125
556,378,666,368,0.5108695652173914,0.7279411764705883,1258.31640625,450.0234375
558,378,665,368,0.5434782608695652,0.6966911764705883,1258.31640625,446.109375
558,378,663,367,0.5372340425531915,0.6875,1270.140625,380.140625
553,377,662,367,0.48913043478260865,0.7352941176470589,1270.48046875,365.27734375
555,377,662,367,0.5372340425531915,0.6966911764705883,1268.12890625,285.59375
559,377,665,367,0.5434782608695652,0.7058823529411765,1267.0859375,240.55859375
558,377,665,366,0.5370027752081405,0.6862745098039216,1267.0859375,194.73828125
559,376,665,365,0.5372340425531915,0.6764705882352942,1266.42578125,116.01171875
560,376,664,365,0.5434782608695652,0.6862745098039216,1270.90234375,28.15234375
558,377,664,364,0.5319148936170213,0.6388888888888888,1270.45703125,2.859375
560,376,665,365,0.5425531914893618,0.6666666666666666,1268.5078125,0.0
561,376,667,365,0.5710144927536231,0.6862745098039216,1260.34765625,0.0
562,376,668,366,0.5869565217391304,0.7058823529411765,1136.8359375,0.0
